#SampleID	Dataset	FullName	Site	Condition
CS_BC_1	1	CS_BC	BC	CS
CS_BC_2	2	CS_BC	BC	CS
CS_BC_3	3	CS_BC	BC	CS
CS_BO_1	4	CS_BO	BO	CS
CS_BO_2	5	CS_BO	BO	CS
CS_BO_3	6	CS_BO	BO	CS
CS_Hope_1	7	CS_Hope	Hope	CS
CS_Hope_2	8	CS_Hope	Hope	CS
CS_Hope_3	9	CS_Hope	Hope	CS
CS_IC_1	10	CS_IC	IC	CS
CS_IC_2	11	CS_IC	IC	CS
CS_IC_3	12	CS_IC	IC	CS
CS_IL_1	13	CS_IL	IL	CS
CS_IL_2	14	CS_IL	IL	CS
CS_IL_3	15	CS_IL	IL	CS
CS_IM_1	16	CS_IM	IM	CS
CS_IM_2	17	CS_IM	IM	CS
CS_IM_3	18	CS_IM	IM	CS
CS_MO_1	19	CS_MO	MO	CS
CS_MO_2	20	CS_MO	MO	CS
CS_MO_3	21	CS_MO	MO	CS
CS_Moise_1	22	CS_Moise	Moise	CS
CS_Moise_2	23	CS_Moise	Moise	CS
CS_Moise_3	24	CS_Moise	Moise	CS
CS_PPV_1	25	CS_PPV	PPV	CS
CS_PPV_2	26	CS_PPV	PPV	CS
CS_PPV_3	27	CS_PPV	PPV	CS
HS_BC_1	28	HS_BC	BC	HS
HS_BC_2	29	HS_BC	BC	HS
HS_BC_3	30	HS_BC	BC	HS
HS_BO_1	31	HS_BO	BO	HS
HS_BO_2	32	HS_BO	BO	HS
HS_BO_3	33	HS_BO	BO	HS
HS_Hope_1	34	HS_Hope	Hope	HS
HS_Hope_2	35	HS_Hope	Hope	HS
HS_Hope_3	36	HS_Hope	Hope	HS
HS_IC_1	37	HS_IC	IC	HS
HS_IC_2	38	HS_IC	IC	HS
HS_IC_3	39	HS_IC	IC	HS
HS_IL_1	40	HS_IL	IL	HS
HS_IL_2	41	HS_IL	IL	HS
HS_IL_3	42	HS_IL	IL	HS
HS_ILRT_1	43	HS_ILRT	ILRT	HS
HS_ILRT_2	44	HS_ILRT	ILRT	HS
HS_ILRT_3	45	HS_ILRT	ILRT	HS
HS_IM_1	46	HS_IM	IM	HS
HS_IM_2	47	HS_IM	IM	HS
HS_IM_3	48	HS_IM	IM	HS
HS_MD_1	49	HS_MD	MD	HS
HS_MD_2	50	HS_MD	MD	HS
HS_MD_3	51	HS_MD	MD	HS
HS_MO_1	52	HS_MO	MO	HS
HS_MO_2	53	HS_MO	MO	HS
HS_MO_3	54	HS_MO	MO	HS
HS_Moise_1	55	HS_Moise	Moise	HS
HS_Moise_2	56	HS_Moise	Moise	HS
HS_Moise_3	57	HS_Moise	Moise	HS
HS_Poe_1_MN	58	HS_Poe	Poe	HS
HS_Poe_1	59	HS_Poe	Poe	HS
HS_Poe_2	60	HS_Poe	Poe	HS
HS_Poe_3	61	HS_Poe	Poe	HS
HS_PPV_1	62	HS_PPV	PPV	HS
HS_PPV_2	63	HS_PPV	PPV	HS
HS_PPV_3	64	HS_PPV	PPV	HS
HS_Voh_2_MN	65	HS_Voh	Voh	HS
HS_Voh_2	66	HS_Voh	Voh	HS
HS_Voh_3	67	HS_Voh	Voh	HS
